,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,76,2010,2,201002,Adelaide,Gold Coast,Adelaide - Gold Coast,135.6,208.2428571
,77,2010,2,201002,Adelaide,Melbourne,Adelaide - Melbourne,81.6,125.3142857
,78,2010,2,201002,Adelaide,Perth,Adelaide - Perth,368,565.1428571
,79,2010,2,201002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,272.835
,80,2010,2,201002,Adelaide,Sydney,Adelaide - Sydney,117.6,180.6
,81,2010,2,201002,Albury,Sydney,Albury - Sydney,138,211.9285714
,82,2010,2,201002,Alice Springs,Darwin,Alice Springs - Darwin,508,780.1428571
,83,2010,2,201002,Alice Springs,Melbourne,Alice Springs - Melbourne,176,270.2857143
,84,2010,2,201002,Alice Springs,Sydney,Alice Springs - Sydney,538,826.2142857
,85,2010,2,201002,Avalon,Brisbane,Avalon - Brisbane,178,273.3571429
,86,2010,2,201002,Avalon,Sydney,Avalon - Sydney,98,150.5
,87,2010,2,201002,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1286.928571
,88,2010,2,201002,Ayers Rock,Sydney,Ayers Rock - Sydney,818,1256.214286
,89,2010,2,201002,Ballina,Sydney,Ballina - Sydney,178,273.3571429
,90,2010,2,201002,Brisbane,Cairns,Brisbane - Cairns,208,319.4285714
,91,2010,2,201002,Brisbane,Canberra,Brisbane - Canberra,178,273.3571429
,92,2010,2,201002,Brisbane,Darwin,Brisbane - Darwin,248,380.8571429
,93,2010,2,201002,Brisbane,Emerald,Brisbane - Emerald,369,566.6785714
,94,2010,2,201002,Brisbane,Gladstone,Brisbane - Gladstone,254,390.0714286
,95,2010,2,201002,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,242.6428571
,96,2010,2,201002,Brisbane,Hobart,Brisbane - Hobart,508,780.1428571
,97,2010,2,201002,Brisbane,Mackay,Brisbane - Mackay,178,273.3571429
,98,2010,2,201002,Brisbane,Melbourne,Brisbane - Melbourne,238,365.5
,99,2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544,835.4285714
,100,2010,2,201002,Brisbane,Perth,Brisbane - Perth,438,672.6428571
,101,2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158,242.6428571
,102,2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87,133.6071429
,103,2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148,227.2857143
,104,2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188,288.7142857
,105,2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88,135.1428571
,106,2010,2,201002,Broome,Perth,Broome - Perth,278,426.9285714
,107,2010,2,201002,Bundaberg,Brisbane,Bundaberg - Brisbane,274,420.7857143
,108,2010,2,201002,Cairns,Melbourne,Cairns - Melbourne,378,580.5
,109,2010,2,201002,Cairns,Sydney,Cairns - Sydney,358,549.7857143
,110,2010,2,201002,Cairns,Townsville,Cairns - Townsville,118,181.2142857
