,,,,,,,,,
,b1e7267d-2884-4416-b3d6-6a669fc4e423,,,,,,,,
,_id,Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real
,895,2011,1,201101,Brisbane,Sydney,Brisbane - Sydney,138,205.2451679
,896,2011,1,201101,Brisbane,Townsville,Brisbane - Townsville,158,234.9908444
,897,2011,1,201101,Brisbane,Newcastle,Brisbane - Newcastle,104,154.6775178
,898,2011,1,201101,Broome,Perth,Broome - Perth,334,496.7527976
,899,2011,1,201101,Bundaberg,Brisbane,Bundaberg - Brisbane,234,348.0244151
,900,2011,1,201101,Cairns,Melbourne,Cairns - Melbourne,174.2,259.0848423
,901,2011,1,201101,Cairns,Sydney,Cairns - Sydney,267,397.1047813
,902,2011,1,201101,Cairns,Townsville,Cairns - Townsville,138,205.2451679
,903,2011,1,201101,Canberra,Melbourne,Canberra - Melbourne,71.79,106.7721058
,904,2011,1,201101,Canberra,Sydney,Canberra - Sydney,137,203.757884
,905,2011,1,201101,Coffs Harbour,Sydney,Coffs Harbour - Sydney,138,205.2451679
,906,2011,1,201101,Darwin,Melbourne,Darwin - Melbourne,183.64,273.1248016
,907,2011,1,201101,Darwin,Perth,Darwin - Perth,548,815.0315361
,908,2011,1,201101,Darwin,Sydney,Darwin - Sydney,418,621.6846389
,909,2011,1,201101,Devonport,Melbourne,Devonport - Melbourne,296,440.2360122
,910,2011,1,201101,Dubbo,Sydney,Dubbo - Sydney,264.82,393.8625025
,911,2011,1,201101,Geraldton,Perth,Geraldton - Perth,321.04,477.4775992
,912,2011,1,201101,Gold Coast,Sydney,Gold Coast - Sydney,65.96,98.1012411
,913,2011,1,201101,Hamilton Island,Sydney,Hamilton Island - Sydney,520,773.387589
,914,2011,1,201101,Hervey Bay,Sydney,Hervey Bay - Sydney,187,278.1220753
,915,2011,1,201101,Hobart,Melbourne,Hobart - Melbourne,55.07,81.90472024
,916,2011,1,201101,Hobart,Sydney,Hobart - Sydney,208,309.3550356
,917,2011,1,201101,Kalgoorlie,Perth,Kalgoorlie - Perth,309.62,460.4928179
,918,2011,1,201101,Karratha,Perth,Karratha - Perth,341.77,508.3089929
,919,2011,1,201101,Launceston,Melbourne,Launceston - Melbourne,118,175.4994914
,920,2011,1,201101,Launceston,Sydney,Launceston - Sydney,208,309.3550356
,921,2011,1,201101,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,112.94,167.9738352
,922,2011,1,201101,Sunshine Coast,Sydney,Sunshine Coast - Sydney,118,175.4994914
,923,2011,1,201101,Melbourne,Gold Coast,Melbourne - Gold Coast,110.82,164.8207935
,924,2011,1,201101,Melbourne,Mildura,Melbourne - Mildura,154,229.0417091
,925,2011,1,201101,Melbourne,Perth,Melbourne - Perth,238.46,354.6577009
,926,2011,1,201101,Melbourne,Sydney,Melbourne - Sydney,66.23,98.50280773
,927,2011,1,201101,Melbourne,Newcastle,Melbourne - Newcastle,128,190.3723296
,928,2011,1,201101,Paraburdoo,Perth,Paraburdoo - Perth,442,657.3794507
,929,2011,1,201101,Perth,Newman,Perth - Newman,378,562.1932859
,930,2011,1,201101,Perth,Port Hedland,Perth - Port Hedland,347,516.0874873
,931,2011,1,201101,Perth,Sydney,Perth - Sydney,337,501.214649
,932,2011,1,201101,Port Macquarie,Sydney,Port Macquarie - Sydney,164,243.9145473
,933,2011,1,201101,Sydney,Tamworth,Sydney - Tamworth,210,312.3296033
,934,2011,1,201101,Sydney,Townsville,Sydney - Townsville,198,294.4821974
,935,2011,1,201101,Sydney,Wagga Wagga,Sydney - Wagga Wagga,229.31,341.0490539
,936,2011,1,201101,Newcastle,Gold Coast,Newcastle - Gold Coast,98,145.7538149
,937,2011,2,201102,Adelaide,Alice Springs,Adelaide - Alice Springs,476,707.9471007
,938,2011,2,201102,Adelaide,Brisbane,Adelaide - Brisbane,248,368.8463886
,939,2011,2,201102,Adelaide,Canberra,Adelaide - Canberra,282,419.4140387
,940,2011,2,201102,Adelaide,Darwin,Adelaide - Darwin,358,532.4476094
,941,2011,2,201102,Adelaide,Gold Coast,Adelaide - Gold Coast,318,472.9562564
,942,2011,2,201102,Adelaide,Melbourne,Adelaide - Melbourne,69.02,102.6523296
,943,2011,2,201102,Adelaide,Perth,Adelaide - Perth,353,525.0111902
,944,2011,2,201102,Adelaide,Port Lincoln,Adelaide - Port Lincoln,186.45,277.3040692
,945,2011,2,201102,Adelaide,Sydney,Adelaide - Sydney,97.9,145.6050865
,946,2011,2,201102,Albury,Sydney,Albury - Sydney,176,261.7619532
,947,2011,2,201102,Alice Springs,Darwin,Alice Springs - Darwin,487,724.3072228
,948,2011,2,201102,Alice Springs,Melbourne,Alice Springs - Melbourne,418,621.6846389
,949,2011,2,201102,Alice Springs,Sydney,Alice Springs - Sydney,484,719.8453713
,950,2011,2,201102,Avalon,Brisbane,Avalon - Brisbane,158,234.9908444
,951,2011,2,201102,Avalon,Sydney,Avalon - Sydney,65.86,97.95251272
,952,2011,2,201102,Ayers Rock,Cairns,Ayers Rock - Cairns,807,1200.238047
,953,2011,2,201102,Ayers Rock,Sydney,Ayers Rock - Sydney,484,719.8453713
,954,2011,2,201102,Ballina,Sydney,Ballina - Sydney,167,248.3763988
,955,2011,2,201102,Brisbane,Cairns,Brisbane - Cairns,238,353.9735504
,956,2011,2,201102,Brisbane,Canberra,Brisbane - Canberra,218,324.2278739
,957,2011,2,201102,Brisbane,Darwin,Brisbane - Darwin,358,532.4476094
,958,2011,2,201102,Brisbane,Emerald,Brisbane - Emerald,402,597.8880977
,959,2011,2,201102,Brisbane,Gladstone,Brisbane - Gladstone,188,279.6093591
,960,2011,2,201102,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,234.9908444
,961,2011,2,201102,Brisbane,Mackay,Brisbane - Mackay,178,264.7365209
,962,2011,2,201102,Brisbane,Melbourne,Brisbane - Melbourne,137.9,205.0964395
,963,2011,2,201102,Brisbane,Mount Isa,Brisbane - Mount Isa,631,938.4760936
,964,2011,2,201102,Brisbane,Perth,Brisbane - Perth,338,502.7019329
,965,2011,2,201102,Brisbane,Proserpine,Brisbane - Proserpine,168,249.8636826
,966,2011,2,201102,Brisbane,Rockhampton,Brisbane - Rockhampton,198,294.4821974
,967,2011,2,201102,Brisbane,Sydney,Brisbane - Sydney,77.9,115.85941
,968,2011,2,201102,Brisbane,Townsville,Brisbane - Townsville,248,368.8463886
,969,2011,2,201102,Brisbane,Newcastle,Brisbane - Newcastle,118,175.4994914
,970,2011,2,201102,Broome,Perth,Broome - Perth,358,532.4476094
,971,2011,2,201102,Bundaberg,Brisbane,Bundaberg - Brisbane,275,409.0030519
,972,2011,2,201102,Cairns,Melbourne,Cairns - Melbourne,165.59,246.2793286
,973,2011,2,201102,Cairns,Sydney,Cairns - Sydney,308,458.0834181
,974,2011,2,201102,Cairns,Townsville,Cairns - Townsville,170,252.8382503
,975,2011,2,201102,Canberra,Melbourne,Canberra - Melbourne,72.4,107.6793489
,976,2011,2,201102,Canberra,Sydney,Canberra - Sydney,176,261.7619532
,977,2011,2,201102,Coffs Harbour,Sydney,Coffs Harbour - Sydney,198,294.4821974
,978,2011,2,201102,Darwin,Melbourne,Darwin - Melbourne,298,443.2105799
,979,2011,2,201102,Darwin,Perth,Darwin - Perth,444,660.3540183
,980,2011,2,201102,Darwin,Sydney,Darwin - Sydney,348,517.5747711
,981,2011,2,201102,Devonport,Melbourne,Devonport - Melbourne,255,379.2573754
,982,2011,2,201102,Dubbo,Sydney,Dubbo - Sydney,264.82,393.8625025
,983,2011,2,201102,Geraldton,Perth,Geraldton - Perth,321.04,477.4775992
,984,2011,2,201102,Gold Coast,Sydney,Gold Coast - Sydney,97.9,145.6050865
,985,2011,2,201102,Hamilton Island,Sydney,Hamilton Island - Sydney,298,443.2105799
,986,2011,2,201102,Hervey Bay,Sydney,Hervey Bay - Sydney,198,294.4821974
,987,2011,2,201102,Hobart,Melbourne,Hobart - Melbourne,67.53,100.4362767
,988,2011,2,201102,Hobart,Sydney,Hobart - Sydney,198,294.4821974
,989,2011,2,201102,Kalgoorlie,Perth,Kalgoorlie - Perth,250,371.8209563
,990,2011,2,201102,Karratha,Perth,Karratha - Perth,321.51,478.1766226
,991,2011,2,201102,Launceston,Melbourne,Launceston - Melbourne,88,130.8809766
,992,2011,2,201102,Launceston,Sydney,Launceston - Sydney,168,249.8636826
,993,2011,2,201102,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,137.9,205.0964395
,994,2011,2,201102,Sunshine Coast,Sydney,Sunshine Coast - Sydney,138,205.2451679
,995,2011,2,201102,Melbourne,Gold Coast,Melbourne - Gold Coast,117.9,175.350763
,996,2011,2,201102,Melbourne,Mildura,Melbourne - Mildura,170,252.8382503
,997,2011,2,201102,Melbourne,Perth,Melbourne - Perth,247.9,368.6976602
,998,2011,2,201102,Melbourne,Sydney,Melbourne - Sydney,77.9,115.85941
,999,2011,2,201102,Melbourne,Newcastle,Melbourne - Newcastle,158,234.9908444
,1000,2011,2,201102,Paraburdoo,Perth,Paraburdoo - Perth,410,609.7863683
,1001,2011,2,201102,Perth,Newman,Perth - Newman,378,562.1932859
,1002,2011,2,201102,Perth,Port Hedland,Perth - Port Hedland,437,649.9430315
,1003,2011,2,201102,Perth,Sydney,Perth - Sydney,316,469.9816887
,1004,2011,2,201102,Port Macquarie,Sydney,Port Macquarie - Sydney,198,294.4821974
,1005,2011,2,201102,Sydney,Tamworth,Sydney - Tamworth,250,371.8209563
,1006,2011,2,201102,Sydney,Townsville,Sydney - Townsville,238,353.9735504
,1007,2011,2,201102,Sydney,Wagga Wagga,Sydney - Wagga Wagga,231,343.5625636
,1008,2011,2,201102,Newcastle,Gold Coast,Newcastle - Gold Coast,168,249.8636826
,1009,2011,3,201103,Adelaide,Alice Springs,Adelaide - Alice Springs,429,638.0447609
,1010,2011,3,201103,Adelaide,Brisbane,Adelaide - Brisbane,298,443.2105799
,1011,2011,3,201103,Adelaide,Canberra,Adelaide - Canberra,284,422.3886063
,1012,2011,3,201103,Adelaide,Darwin,Adelaide - Darwin,378,562.1932859
,1013,2011,3,201103,Adelaide,Gold Coast,Adelaide - Gold Coast,318,472.9562564
,1014,2011,3,201103,Adelaide,Melbourne,Adelaide - Melbourne,67.9,100.9865717
,1015,2011,3,201103,Adelaide,Perth,Adelaide - Perth,338,502.7019329
,1016,2011,3,201103,Adelaide,Port Lincoln,Adelaide - Port Lincoln,195.25,290.3921668
,1017,2011,3,201103,Adelaide,Sydney,Adelaide - Sydney,77.9,115.85941
,1018,2011,3,201103,Albury,Sydney,Albury - Sydney,180,267.7110885
,1019,2011,3,201103,Alice Springs,Darwin,Alice Springs - Darwin,542,806.1078332
,1020,2011,3,201103,Alice Springs,Melbourne,Alice Springs - Melbourne,438,651.4303154
,1021,2011,3,201103,Alice Springs,Sydney,Alice Springs - Sydney,563,837.3407935
,1022,2011,3,201103,Avalon,Brisbane,Avalon - Brisbane,178,264.7365209
,1023,2011,3,201103,Avalon,Sydney,Avalon - Sydney,48.9,72.72817904
,1024,2011,3,201103,Ayers Rock,Cairns,Ayers Rock - Cairns,786,1169.005086
,1025,2011,3,201103,Ayers Rock,Sydney,Ayers Rock - Sydney,477,709.4343845
,1026,2011,3,201103,Ballina,Sydney,Ballina - Sydney,178,264.7365209
,1027,2011,3,201103,Brisbane,Cairns,Brisbane - Cairns,238,353.9735504
,1028,2011,3,201103,Brisbane,Canberra,Brisbane - Canberra,208,309.3550356
,1029,2011,3,201103,Brisbane,Darwin,Brisbane - Darwin,370,550.2950153
,1030,2011,3,201103,Brisbane,Emerald,Brisbane - Emerald,308,458.0834181
,1031,2011,3,201103,Brisbane,Gladstone,Brisbane - Gladstone,188,279.6093591
,1032,2011,3,201103,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,234.9908444
,1033,2011,3,201103,Brisbane,Mackay,Brisbane - Mackay,158,234.9908444
,1034,2011,3,201103,Brisbane,Melbourne,Brisbane - Melbourne,117.9,175.350763
,1035,2011,3,201103,Brisbane,Mount Isa,Brisbane - Mount Isa,660,981.6073245
,1036,2011,3,201103,Brisbane,Perth,Brisbane - Perth,474,704.9725331
,1037,2011,3,201103,Brisbane,Proserpine,Brisbane - Proserpine,198,294.4821974
,1038,2011,3,201103,Brisbane,Rockhampton,Brisbane - Rockhampton,203,301.9186165
,1039,2011,3,201103,Brisbane,Sydney,Brisbane - Sydney,67.9,100.9865717
,1040,2011,3,201103,Brisbane,Townsville,Brisbane - Townsville,238,353.9735504
,1041,2011,3,201103,Brisbane,Newcastle,Brisbane - Newcastle,158,234.9908444
,1042,2011,3,201103,Broome,Perth,Broome - Perth,408,606.8118006
,1043,2011,3,201103,Bundaberg,Brisbane,Bundaberg - Brisbane,332,493.7782299
,1044,2011,3,201103,Cairns,Melbourne,Cairns - Melbourne,177.9,264.5877925
,1045,2011,3,201103,Cairns,Sydney,Cairns - Sydney,298,443.2105799
,1046,2011,3,201103,Cairns,Townsville,Cairns - Townsville,178,264.7365209
,1047,2011,3,201103,Canberra,Melbourne,Canberra - Melbourne,77.9,115.85941
,1048,2011,3,201103,Canberra,Sydney,Canberra - Sydney,154,229.0417091
,1049,2011,3,201103,Coffs Harbour,Sydney,Coffs Harbour - Sydney,219,325.7151577
,1050,2011,3,201103,Darwin,Melbourne,Darwin - Melbourne,337,501.214649
,1051,2011,3,201103,Darwin,Perth,Darwin - Perth,470,699.0233978
,1052,2011,3,201103,Darwin,Sydney,Darwin - Sydney,438,651.4303154
,1053,2011,3,201103,Devonport,Melbourne,Devonport - Melbourne,311,462.5452696
,1054,2011,3,201103,Dubbo,Sydney,Dubbo - Sydney,275.81,410.2077518
,1055,2011,3,201103,Geraldton,Perth,Geraldton - Perth,382.64,569.0942828
,1056,2011,3,201103,Gold Coast,Sydney,Gold Coast - Sydney,87.9,130.7322482
,1057,2011,3,201103,Hamilton Island,Sydney,Hamilton Island - Sydney,310,461.0579858
,1058,2011,3,201103,Hervey Bay,Sydney,Hervey Bay - Sydney,278,413.4649034
,1059,2011,3,201103,Hobart,Melbourne,Hobart - Melbourne,67.9,100.9865717
,1060,2011,3,201103,Hobart,Sydney,Hobart - Sydney,198,294.4821974
,1061,2011,3,201103,Kalgoorlie,Perth,Kalgoorlie - Perth,283.22,421.2285249
,1062,2011,3,201103,Karratha,Perth,Karratha - Perth,384.21,571.4293184
,1063,2011,3,201103,Launceston,Melbourne,Launceston - Melbourne,134,199.2960326
,1064,2011,3,201103,Launceston,Sydney,Launceston - Sydney,218,324.2278739
,1065,2011,3,201103,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,117.9,175.350763
,1066,2011,3,201103,Sunshine Coast,Sydney,Sunshine Coast - Sydney,118,175.4994914
,1067,2011,3,201103,Melbourne,Gold Coast,Melbourne - Gold Coast,147.9,219.9692777
,1068,2011,3,201103,Melbourne,Mildura,Melbourne - Mildura,242,359.9226857
,1069,2011,3,201103,Melbourne,Perth,Melbourne - Perth,197.9,294.333469
,1070,2011,3,201103,Melbourne,Sydney,Melbourne - Sydney,77.9,115.85941
,1071,2011,3,201103,Melbourne,Newcastle,Melbourne - Newcastle,128,190.3723296
,1072,2011,3,201103,Paraburdoo,Perth,Paraburdoo - Perth,518,770.4130214
,1073,2011,3,201103,Perth,Newman,Perth - Newman,493,733.2309257
,1074,2011,3,201103,Perth,Port Hedland,Perth - Port Hedland,437,649.9430315
,1075,2011,3,201103,Perth,Sydney,Perth - Sydney,318,472.9562564
,1076,2011,3,201103,Port Macquarie,Sydney,Port Macquarie - Sydney,198,294.4821974
,1077,2011,3,201103,Sydney,Tamworth,Sydney - Tamworth,259,385.2065107
,1078,2011,3,201103,Sydney,Townsville,Sydney - Townsville,258,383.7192269
,1079,2011,3,201103,Sydney,Wagga Wagga,Sydney - Wagga Wagga,242,359.9226857
,1080,2011,3,201103,Newcastle,Gold Coast,Newcastle - Gold Coast,258,383.7192269
,1081,2011,4,201104,Adelaide,Alice Springs,Adelaide - Alice Springs,471,694.1552419
,1082,2011,4,201104,Adelaide,Brisbane,Adelaide - Brisbane,328,483.4032258
,1083,2011,4,201104,Adelaide,Canberra,Adelaide - Canberra,340,501.0887097
,1084,2011,4,201104,Adelaide,Darwin,Adelaide - Darwin,348,512.8790323
,1085,2011,4,201104,Adelaide,Gold Coast,Adelaide - Gold Coast,318,468.6653226
,1086,2011,4,201104,Adelaide,Melbourne,Adelaide - Melbourne,69.9,103.0179435
,1087,2011,4,201104,Adelaide,Perth,Adelaide - Perth,398,586.5685484
,1088,2011,4,201104,Adelaide,Port Lincoln,Adelaide - Port Lincoln,215.05,316.9386089
,1089,2011,4,201104,Adelaide,Sydney,Adelaide - Sydney,179.9,265.134879
,1090,2011,4,201104,Albury,Sydney,Albury - Sydney,218,321.2862903
,1091,2011,4,201104,Alice Springs,Darwin,Alice Springs - Darwin,556,819.4274194
,1092,2011,4,201104,Alice Springs,Melbourne,Alice Springs - Melbourne,440,648.4677419
,1093,2011,4,201104,Alice Springs,Sydney,Alice Springs - Sydney,606,893.1169355
,1094,2011,4,201104,Avalon,Brisbane,Avalon - Brisbane,119.9,176.7074597
,1095,2011,4,201104,Avalon,Sydney,Avalon - Sydney,78,114.9556452
,1096,2011,4,201104,Ayers Rock,Cairns,Ayers Rock - Cairns,798,1176.084677
,1097,2011,4,201104,Ayers Rock,Sydney,Ayers Rock - Sydney,537,791.4254032
,1098,2011,4,201104,Ballina,Sydney,Ballina - Sydney,208,306.5483871
,1099,2011,4,201104,Brisbane,Cairns,Brisbane - Cairns,238,350.7620968
,1100,2011,4,201104,Brisbane,Canberra,Brisbane - Canberra,218,321.2862903
,1101,2011,4,201104,Brisbane,Darwin,Brisbane - Darwin,378,557.0927419
,1102,2011,4,201104,Brisbane,Emerald,Brisbane - Emerald,358,527.6169355
,1103,2011,4,201104,Brisbane,Gladstone,Brisbane - Gladstone,180,265.2822581
,1104,2011,4,201104,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,232.858871
,1105,2011,4,201104,Brisbane,Mackay,Brisbane - Mackay,198,291.8104839
,1106,2011,4,201104,Brisbane,Melbourne,Brisbane - Melbourne,199.9,294.6106855
,1107,2011,4,201104,Brisbane,Mount Isa,Brisbane - Mount Isa,664,978.5967742
,1108,2011,4,201104,Brisbane,Perth,Brisbane - Perth,448,660.2580645
,1109,2011,4,201104,Brisbane,Proserpine,Brisbane - Proserpine,188,277.0725806
,1110,2011,4,201104,Brisbane,Rockhampton,Brisbane - Rockhampton,178,262.3346774
,1111,2011,4,201104,Brisbane,Sydney,Brisbane - Sydney,69.9,103.0179435
,1112,2011,4,201104,Brisbane,Townsville,Brisbane - Townsville,297,437.7157258
,1113,2011,4,201104,Brisbane,Newcastle,Brisbane - Newcastle,138,203.3830645
,1114,2011,4,201104,Broome,Perth,Broome - Perth,453,667.6270161
,1115,2011,4,201104,Bundaberg,Brisbane,Bundaberg - Brisbane,348,512.8790323
,1116,2011,4,201104,Cairns,Melbourne,Cairns - Melbourne,369.9,545.1550403
,1117,2011,4,201104,Cairns,Sydney,Cairns - Sydney,348,512.8790323
,1118,2011,4,201104,Cairns,Townsville,Cairns - Townsville,176,259.3870968
,1119,2011,4,201104,Canberra,Melbourne,Canberra - Melbourne,99.9,147.2316532
,1120,2011,4,201104,Canberra,Sydney,Canberra - Sydney,190,280.0201613
,1121,2011,4,201104,Coffs Harbour,Sydney,Coffs Harbour - Sydney,198,291.8104839
,1122,2011,4,201104,Darwin,Melbourne,Darwin - Melbourne,428,630.7822581
,1123,2011,4,201104,Darwin,Perth,Darwin - Perth,470,692.6814516
,1124,2011,4,201104,Darwin,Sydney,Darwin - Sydney,538,792.8991935
,1125,2011,4,201104,Devonport,Melbourne,Devonport - Melbourne,365,537.9334677
,1126,2011,4,201104,Dubbo,Sydney,Dubbo - Sydney,286.81,422.6978024
,1127,2011,4,201104,Geraldton,Perth,Geraldton - Perth,322.14,474.7668145
,1128,2011,4,201104,Gold Coast,Sydney,Gold Coast - Sydney,129.9,191.4453629
,1129,2011,4,201104,Hamilton Island,Sydney,Hamilton Island - Sydney,348,512.8790323
,1130,2011,4,201104,Hervey Bay,Sydney,Hervey Bay - Sydney,378,557.0927419
,1131,2011,4,201104,Hobart,Melbourne,Hobart - Melbourne,178,262.3346774
,1132,2011,4,201104,Hobart,Sydney,Hobart - Sydney,333,490.7721774
,1133,2011,4,201104,Kalgoorlie,Perth,Kalgoorlie - Perth,328.32,483.8748387
,1134,2011,4,201104,Karratha,Perth,Karratha - Perth,361.11,532.2004234
,1135,2011,4,201104,Launceston,Melbourne,Launceston - Melbourne,218,321.2862903
,1136,2011,4,201104,Launceston,Sydney,Launceston - Sydney,318,468.6653226
,1137,2011,4,201104,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,259.9,383.0381048
,1138,2011,4,201104,Sunshine Coast,Sydney,Sunshine Coast - Sydney,69.9,103.0179435
,1139,2011,4,201104,Melbourne,Gold Coast,Melbourne - Gold Coast,119.9,176.7074597
,1140,2011,4,201104,Melbourne,Mildura,Melbourne - Mildura,217.67,320.7999395
,1141,2011,4,201104,Melbourne,Perth,Melbourne - Perth,299.9,441.9897177
,1142,2011,4,201104,Melbourne,Sydney,Melbourne - Sydney,69.9,103.0179435
,1143,2011,4,201104,Melbourne,Newcastle,Melbourne - Newcastle,148,218.1209677
,1144,2011,4,201104,Paraburdoo,Perth,Paraburdoo - Perth,498,733.9475806
,1145,2011,4,201104,Perth,Newman,Perth - Newman,396,583.6209677
,1146,2011,4,201104,Perth,Port Hedland,Perth - Port Hedland,396,583.6209677
,1147,2011,4,201104,Perth,Sydney,Perth - Sydney,448,660.2580645
,1148,2011,4,201104,Port Macquarie,Sydney,Port Macquarie - Sydney,208.02,306.5778629
,1149,2011,4,201104,Sydney,Tamworth,Sydney - Tamworth,218,321.2862903
,1150,2011,4,201104,Sydney,Townsville,Sydney - Townsville,278,409.7137097
,1151,2011,4,201104,Sydney,Wagga Wagga,Sydney - Wagga Wagga,251.31,370.378246
,1152,2011,4,201104,Newcastle,Gold Coast,Newcastle - Gold Coast,208,306.5483871
,1153,2011,5,201105,Adelaide,Alice Springs,Adelaide - Alice Springs,421,620.4657258
,1154,2011,5,201105,Adelaide,Brisbane,Adelaide - Brisbane,248,365.5
,1155,2011,5,201105,Adelaide,Canberra,Adelaide - Canberra,278,409.7137097
,1156,2011,5,201105,Adelaide,Darwin,Adelaide - Darwin,328,483.4032258
,1157,2011,5,201105,Adelaide,Gold Coast,Adelaide - Gold Coast,278,409.7137097
,1158,2011,5,201105,Adelaide,Melbourne,Adelaide - Melbourne,79.9,117.7558468
,1159,2011,5,201105,Adelaide,Perth,Adelaide - Perth,320,471.6129032
,1160,2011,5,201105,Adelaide,Port Lincoln,Adelaide - Port Lincoln,215.05,316.9386089
,1161,2011,5,201105,Adelaide,Sydney,Adelaide - Sydney,119.9,176.7074597
,1162,2011,5,201105,Albury,Sydney,Albury - Sydney,174,256.4395161
,1163,2011,5,201105,Alice Springs,Darwin,Alice Springs - Darwin,630,928.4879032
,1164,2011,5,201105,Alice Springs,Melbourne,Alice Springs - Melbourne,460,677.9435484
,1165,2011,5,201105,Alice Springs,Sydney,Alice Springs - Sydney,666,981.5443548
,1166,2011,5,201105,Avalon,Brisbane,Avalon - Brisbane,99.9,147.2316532
,1167,2011,5,201105,Avalon,Sydney,Avalon - Sydney,59.9,88.28004032
,1168,2011,5,201105,Ayers Rock,Cairns,Ayers Rock - Cairns,834,1229.141129
,1169,2011,5,201105,Ayers Rock,Sydney,Ayers Rock - Sydney,388,571.8306452
,1170,2011,5,201105,Ballina,Sydney,Ballina - Sydney,158,232.858871
,1171,2011,5,201105,Brisbane,Cairns,Brisbane - Cairns,218,321.2862903
,1172,2011,5,201105,Brisbane,Canberra,Brisbane - Canberra,208,306.5483871
,1173,2011,5,201105,Brisbane,Darwin,Brisbane - Darwin,347,511.4052419
,1174,2011,5,201105,Brisbane,Emerald,Brisbane - Emerald,384,565.9354839
,1175,2011,5,201105,Brisbane,Gladstone,Brisbane - Gladstone,180,265.2822581
,1176,2011,5,201105,Brisbane,Hamilton Island,Brisbane - Hamilton Island,128,188.6451613
,1177,2011,5,201105,Brisbane,Mackay,Brisbane - Mackay,182,268.2298387
,1178,2011,5,201105,Brisbane,Melbourne,Brisbane - Melbourne,139.9,206.1832661
,1179,2011,5,201105,Brisbane,Mount Isa,Brisbane - Mount Isa,743,1095.02621
,1180,2011,5,201105,Brisbane,Perth,Brisbane - Perth,338,498.141129
,1181,2011,5,201105,Brisbane,Proserpine,Brisbane - Proserpine,194,285.9153226
,1182,2011,5,201105,Brisbane,Rockhampton,Brisbane - Rockhampton,162,238.7540323
,1183,2011,5,201105,Brisbane,Sydney,Brisbane - Sydney,79.9,117.7558468
,1184,2011,5,201105,Brisbane,Townsville,Brisbane - Townsville,224,330.1290323
,1185,2011,5,201105,Brisbane,Newcastle,Brisbane - Newcastle,148,218.1209677
,1186,2011,5,201105,Broome,Perth,Broome - Perth,453,667.6270161
,1187,2011,5,201105,Bundaberg,Brisbane,Bundaberg - Brisbane,370,545.3024194
,1188,2011,5,201105,Cairns,Melbourne,Cairns - Melbourne,229.9,338.8243952
,1189,2011,5,201105,Cairns,Sydney,Cairns - Sydney,258,380.2379032
,1190,2011,5,201105,Cairns,Townsville,Cairns - Townsville,167,246.1229839
,1191,2011,5,201105,Canberra,Melbourne,Canberra - Melbourne,109.9,161.9695565
,1192,2011,5,201105,Canberra,Sydney,Canberra - Sydney,160,235.8064516
,1193,2011,5,201105,Coffs Harbour,Sydney,Coffs Harbour - Sydney,174,256.4395161
,1194,2011,5,201105,Darwin,Melbourne,Darwin - Melbourne,358,527.6169355
,1195,2011,5,201105,Darwin,Perth,Darwin - Perth,414,610.1491935
,1196,2011,5,201105,Darwin,Sydney,Darwin - Sydney,428,630.7822581
,1197,2011,5,201105,Devonport,Melbourne,Devonport - Melbourne,293,431.8205645
,1198,2011,5,201105,Dubbo,Sydney,Dubbo - Sydney,215.05,316.9386089
,1199,2011,5,201105,Geraldton,Perth,Geraldton - Perth,326.54,481.2514919
,1200,2011,5,201105,Gold Coast,Sydney,Gold Coast - Sydney,89.9,132.49375
,1201,2011,5,201105,Hamilton Island,Sydney,Hamilton Island - Sydney,208,306.5483871
,1202,2011,5,201105,Hervey Bay,Sydney,Hervey Bay - Sydney,274,403.8185484
,1203,2011,5,201105,Hobart,Melbourne,Hobart - Melbourne,88,129.6935484
,1204,2011,5,201105,Hobart,Sydney,Hobart - Sydney,233,343.3931452
,1205,2011,5,201105,Kalgoorlie,Perth,Kalgoorlie - Perth,393.22,579.5238306
,1206,2011,5,201105,Karratha,Perth,Karratha - Perth,395.21,582.4566734
,1207,2011,5,201105,Launceston,Melbourne,Launceston - Melbourne,138,203.3830645
,1208,2011,5,201105,Launceston,Sydney,Launceston - Sydney,188,277.0725806
,1209,2011,5,201105,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,139.9,206.1832661
,1210,2011,5,201105,Sunshine Coast,Sydney,Sunshine Coast - Sydney,79.9,117.7558468
,1211,2011,5,201105,Melbourne,Gold Coast,Melbourne - Gold Coast,119.9,176.7074597
,1212,2011,5,201105,Melbourne,Mildura,Melbourne - Mildura,166,244.6491935
,1213,2011,5,201105,Melbourne,Perth,Melbourne - Perth,269.9,397.7760081
,1214,2011,5,201105,Melbourne,Sydney,Melbourne - Sydney,59.9,88.28004032
,1215,2011,5,201105,Melbourne,Newcastle,Melbourne - Newcastle,128,188.6451613
,1216,2011,5,201105,Paraburdoo,Perth,Paraburdoo - Perth,520,766.3709677
,1217,2011,5,201105,Perth,Newman,Perth - Newman,373,549.7237903
